Brand,Product,Category,Serving,Fat Level,cal,fat (g),Sat Fat(g),Poly (g) ,Mono (g),cholesterol (mg),Na (mg),Ca (%RDA),K,Sugar,Protein (g),Comment
Chobani,Greek,Yogurt,,Non-fat,130,0,,,,10,105,,,6,22,
Pavel,Yogurt,Yogurt,,Whole,140,8,,,,25,150,,,10,8,
Daisy,Sour Cream,Sour Cream,,Whole,60,5,,,,20,15,,,1,1,2 T
Clover,Kefir,Kefir,,Plain,120,2.5,,,,15,135,,,15,10,
FAGE,Greek,Yogurt,,2%,170,4.5,,,,15,75,,,9,23,
FAGE,Greek,Yogurt,,0%,130,0,,,,0,85,,,9,23,
Wallaby,Greek,Yogurt,170 g(6 oz),Non-fat,0,0,0,,,5,100,20%,,4,17,Organic
Wallaby,Creamy ,Yogurt,,Low-Fat,140,4,,,,25,125,,,9,11,
Stauss,Yogurt,Yogurt,,Non-fat,120,0,,,,10,160,,540,10,14,
Stoneyfield,Org Greek,Yogurt,"150 g (5.3 oz, 1 cont)",Non-fat,80,0,,,,<5 mg,60,20%,230,6,15,
Tillamook,Greek,Yogurt,227 g (8 oz),2%,170,4,2.5,,,20,80,25%,,4,1,Farmstyle
Capretta,Goat | Greek,Yogurt,142 g(5 oz),Skim,120,6,3.5,0,0,25,60,43%,,1,14,1 ingredient: pasturized skimmed goat milk + bacteria
Elli,German |Quark,Cheese,170g (6 oz),Non-fat,90,0,,,,0,60,20%,,6,17,not yogurt (and no bacteria) - Marketing - fooled me
House Foods of America,Firm Tofu,Tofu,,,70,4,,,,0,10,15%,125,0,7,"Organic, Calcium Sulfate, 15% RDI Calcium, 1 serving=1"" (3oz, 85g), 4.5 servigs per container"
Belfiore,Ricotta (Berkeley Ca),Cheese,"62 g (1/4 cup, 7 per container)",,110,8,5,,,30,70,25%,,2,7,Ricotta uses less salt then other cheeses
?,"Whole-Milk, FRESH Mozorella",Cheese,1,,,,,,,,90,10%,,,,"Mozorella, if fresh whole-milk, uses less salt"
?,Cottage Cheese,Cheese,1,,,,,,,,>200,,,,,Seemed like brands HIGH in sodium
Whole Foods,Ciliegine| Mozzarella,Cheese,"1 oz (28g, 8 per container)",full fat,80,6,4,,,20,55,10%,,0,5,in water
